Hugo_Symbol,count
PCDHA2,13
TRAPPC8,13
SEC24A,13
RPTN,13
ADCY7,13
TARS2,13
BAZ2A,13
LARP1,13
ZNF318,13
ADAMTS7,13
ADAMTS16,13
ABCA1,13
AMOTL1,13
EFCAB5,13
ADAMTS9,13
SEPT10,13
NXF1,13
APAF1,13
SLC4A2,13
AKAP12,13
CKAP5,13
MAGI2,13
ATG2A,13
ERCC6L,13
TCF12,13
SORCS1,13
CNTLN,13
PCDHGB6,13
PMEL,13
XIRP1,13
SALL1,13
GOLGA3,13
RERE,13
ENSG00000226232,13
CABIN1,13
ATP2B4,13
DSC2,13
SLITRK3,13
DMBT1,13
AKAP4,13
JAK1,13
SIN3A,13
GPRIN2,13
STK31,13
FLJ43860,13
ADCY10,13
THBS1,13
SMARCA2,13
CNTN3,13
RREB1,13
MOV10,13
NUP210L,13
LIFR,13
NLRP2,13
ACSS3,13
PCDHA10,13
GLI3,13
PFKM,13
IFT140,13
FOCAD,13
AEBP1,13
LRRC16B,13
ATAD2,13
ZNF407,13
ST18,13
PLEKHA5,13
GIMAP8,13
VCPIP1,13
ZCCHC6,13
DENND1B,13
KIF5C,13
KIAA1429,13
MASP1,13
EXPH5,13
SBF2,13
UBR3,13
SGSM1,13
SAMD9,13
ITSN1,13
MED13L,13
MYOM3,13
PDE4B,13
DOCK5,13
ABCB4,13
PPEF1,13
USP54,13
SLITRK6,13
PTCHD4,12
MAP3K4,12
MDGA1,12
THEM5,12
ZNF99,12
ZNF527,12
FRY,12
PCDHA9,12
CACNA1H,12
MYO9B,12
SPEF2,12
TET2,12
SSH1,12
ADCY5,12
RGS22,12
KIAA1033,12
PGAP1,12
ATG9B,12
CHI3L1,12
PCDHA13,12
URB2,12
ANKRD26,12
DAAM1,12
ATP13A4,12
KDM2B,12
TFE3,12
ELTD1,12
MICAL3,12
PCDHB11,12
TRAPPC9,12
FANCI,12
GUCY2F,12
NUP188,12
SLC4A5,12
TSHZ2,12
NBPF12,12
KIAA0922,12
C1orf222,12
FCRL3,12
PRKCB,12
LPHN2,12
GPR179,12
FAM47A,12
ESPNP,12
FBLN2,12
KNTC1,12
NFE2L1,12
SMARCC1,12
TTC28,12
SLC26A9,12
WDR6,12
TRAK2,12
SHROOM3,12
CPXM1,12
TRPM8,12
PDS5B,12
GUCY2C,12
LHCGR,12
USP32,12
TRPM5,12
LCMT2,12
NUP153,12
MYH6,12
PLA2R1,12
MLIP,12
TBC1D25,12
TRIM46,12
KCNH6,12
PLCG1,12
CP,12
PROSER1,12
KDM4C,12
ZNF91,12
NPC1,12
BRIP1,12
BCL9L,12
GANAB,12
C3,12
NPAS4,12
HDLBP,12
KCNQ3,12
PCNX,12
KIF24,12
FRG1,12
TUBBP5,12
ZNF142,12
QARS1,12
ZNF804B,12
UBN2,12
SETD1B,12
CEP290,12
CCAR1,12
ZNF541,12
GREB1,12
CCDC40,12
CAMTA2,12
TRPC1,12
FMO1,12
NAV2,12
FAM135B,12
WLS,12
PLCZ1,12
CATSPER2,12
BBS9,12
FAM21A,12
CDH24,12
PTPRC,12
SEC24B,12
RPLP0P2,12
ZNF425,12
KLHL1,12
GGT3P,12
EPRS,12
VWDE,12
TMEM132B,12
YEATS2,12
SPECC1L,12
ABCA5,12
WDR67,12
ITGA11,12
XPO4,12
KANK2,12
HRC,12
CTNND2,12
INPPL1,12
PKP4,12
CASC5,12
IREB2,12
TBL1XR1,12
MDGA2,12
MAGEE1,12
GFPT2,12
NHSL2,12
WRN,12
ZNF658,12
KCNA5,12
COL5A2,12
PARD3,12
NFE2L3,12
ARHGEF11,12
ADAMTS3,12
PIPSL,12
SETBP1,12
SATB1,12
HERC2P4,12
RAD54B,12
UGGT1,12
DNMT3A,12
EMR2,12
MET,12
CDK19,12
IPO13,12
CRAT,12
COL3A1,12
LRCH1,12
CRAMP1L,12
NUMA1,12
KIF1A,12
KIAA0754,12
BRPF3,12
NLRP13,12
SMTN,12
MARS,12
COL21A1,12
CAPN2,12
GOLGA6L6,12
TMEM63A,12
CALD1,12
PZP,12
PHACTR1,12
HERC2P2,12
SIK3,12
PTPN22,12
PRICKLE3,12
ADAMTS19,12
NUP155,12
CTAGE5,12
ROR2,12
UBAP2,12
DDX26B,12
SPTBN1,12
PCDHB8,12
MORC1,12
PHRF1,12
SH3KBP1,12
COL17A1,12
NBEAL2,12
FLII,12
DOPEY1,12
ITGAV,12
EPB41L3,12
PCDHA4,12
GRIK1,12
OCRL,12
FAM208A,12
PER2,12
CHD1,12
SLC13A3,12
GPRASP2,12
FAM65C,12
NKTR,12
MAGEC1,12
DUSP27,12
PHF12,12
SPATA1,12
BMPR2,12
FAM83B,12
PCNXL3,12
DNMBP,12
ELMO1,12
SRGAP2,12
BCL9,12
SEC16A,12
SORBS2,12
LUZP1,12
MAP3K13,12
ZNF648,11
ZNF711,11
USP15,11
DDB1,11
OR2G3,11
PLG,11
EPHA5,11
MMRN1,11
PIK3R4,11
BAX,11
LGR5,11
NCOA3,11
DGKG,11
VPRBP,11
ABCA11P,11
EIF2C2,11
MSH3,11
TYRP1,11
ZNF646,11
OR5L2,11
ABCC5,11
OLFML2B,11
C10orf68,11
ITIH2,11
FDPS,11
RRBP1,11
SPG11,11
BCAS1,11
PLEKHA6,11
ALDH1L2,11
TARS,11
OTUD7B,11
DGKI,11
NPR2,11
NLGN4X,11
ADAM29,11
CRMP1,11
IGSF9B,11
AGTPBP1,11
ZNF438,11
EPHA6,11
AMPH,11
CYP4A11,11
MBD1,11
SON,11
XPOT,11
INPP5B,11
SPATA13,11
PALM2-AKAP2,11
PPRC1,11
MTHFD1,11
PEX1,11
ACIN1,11
MEIS2,11
SPTBN4,11
PHLDB2,11
FILIP1,11
KIF13B,11
RAPGEF2,11
CDH12,11
RUNX1T1,11
MAML2,11
MAN2B1,11
ARHGAP6,11
MEP1A,11
XPO6,11
CARD6,11
PTPRE,11
ZNF729,11
TRPV2,11
TTLL5,11
OLFML3,11
ADAMTS13,11
MAZ,11
PHC2,11
DOCK1,11
FBXO18,11
EMC1,11
ASPH,11
EHBP1L1,11
ATAD5,11
PKD1L3,11
MCF2L2,11
PLOD3,11
CEP128,11
LRRC8C,11
ALPK3,11
ADAM21,11
LAMC1,11
FAM13B,11
KCNB2,11
DPP6,11
DUOX2,11
ZNF544,11
MAGED1,11
SORBS1,11
OTUD7A,11
CDHR2,11
DGKD,11
SLC8A1,11
DHX57,11
SOGA1,11
EEF1A1,11
KCNU1,11
JAK3,11
PSD2,11
SYMPK,11
DZANK1,11
USP24,11
TNS1,11
C17orf97,11
CDH20,11
C9orf131,11
MYADML,11
FBXO21,11
GAB3,11
MYO5C,11
SLC5A9,11
OR4D10,11
COL9A1,11
SBNO1,11
UBAP2L,11
KCNA1,11
ABCF1,11
BNC1,11
SLC4A3,11
MAN2A1,11
DIP2B,11
ENAH,11
KDR,11
PTPN23,11
TPTE,11
SIPA1L3,11
ZNF841,11
PEAK1,11
TGM1,11
ADCY2,11
PRDM2,11
SEMA4F,11
SEMA6A,11
SMARCC2,11
AKR1CL1,11
KANSL3,11
HIST1H1C,11
HMHA1,11
XRN1,11
KIAA1462,11
TMEM57,11
GLYR1,11
LDB2,11
ANGPT4,11
ITGA4,11
NOP14,11
SALL4,11
SLC4A4,11
ZHX2,11
IVNS1ABP,11
ZBTB40,11
ADAMTS17,11
MYB,11
GYG2,11
COL4A2,11
PHLPP1,11
FAM65A,11
USP25,11
ZNF432,11
RALGAPA1,11
DOPEY2,11
GPS2,11
SYCP2,11
COG1,11
SORL1,11
SCAF4,11
CDHR1,11
ANKAR,11
FMNL3,11
TLR7,11
KIAA1009,11
ALDH1L1,11
JAG1,11
EXOC6,11
IFI16,11
KIRREL,11
HERC4,11
ARHGEF5,11
EFCAB6,11
UBE3B,11
TRPC7,11
UHRF1BP1L,11
PDCD11,11
UPF2,11
SMC4,11
KIAA1377,11
LRRTM1,11
SIGLEC7,11
ATP11C,11
SCAPER,11
KIAA1432,11
CNTNAP3,11
CLSTN2,11
LRIG2,11
OR7D2,11
ZNF587,11
MAST4,11
SAMD9L,11
FHAD1,11
KIF27,11
HLA-J,11
KCND2,11
KAT6A,11
TRPS1,11
NRP2,11
DGKK,11
LNX1,11
ABCC6,11
CACNA2D3,11
NFATC3,11
TAB3,11
C6,11
SFMBT2,11
HCFC2,11
ZNF334,11
TGM2,11
ARPP21,11
SYNPO2,11
IKBKE,11
SP100,11
BMX,11
SLC9C1,11
C15orf39,11
DIAPH2,11
KIF2B,11
ZRANB3,11
ZNF568,11
GRIN2D,11
GRIPAP1,11
OR4M1,11
BPIFB4,11
MFI2,11
DLGAP4,11
CEP95,11
N4BP2,11
ATP1A1,11
RICTOR,11
CLCNKA,11
ITIH6,11
TCERG1,11
CLIP2,11
FSHR,11
BAI2,11
PARP1,11
OTOA,11
EIF4G1,11
SMARCA1,11
HDX,11
TSGA10,11
PCDHGA4,11
CADM2,11
KCNJ12,11
FADS2,11
PI4KA,11
PTPRM,11
FAM160A2,11
THOC2,11
ARAP2,11
ADCY8,11
VCL,11
MYO6,11
ZC3HAV1,11
C1QTNF5,11
TBC1D8B,11
STAT4,11
ZFC3H1,11
PTPRG,11
OR6C76,11
TRPC6,11
OR8D1,11
ACTB,11
KDM2A,11
PRRC2A,11
ROR1,11
TSC2,11
SYNJ2,11
PCDHAC1,11
NTRK3,11
ROBO3,11
AP3B1,11
OR2T2,11
ARHGEF1,11
ERN2,11
SRBD1,11
KCNH1,11
LRP12,11
COL11A1,11
CHD1L,11
INTS6,11
TRO,11
ZNF585A,11
DICER1,11
KIF17,11
FKBP15,11
GARNL3,11
COL18A1,11
EPHB2,11
CSRP2BP,11
ANAPC1,11
WHAMMP2,11
KDM5A,11
MAN2B2,11
PRKCQ,11
DAPK1,11
OTUD4,11
STXBP5,11
DDX3X,11
ITGA1,11
ST6GALNAC1,10
PHF20L1,10
TUBGCP6,10
RBM12,10
PRB2,10
RASAL3,10
APBA1,10
VANGL2,10
ZNF619,10
ECE1,10
CDC27,10
PLCG2,10
AGAP1,10
DCLK1,10
PMFBP1,10
SLC30A5,10
ARHGEF2,10
CDK18,10
TXNDC11,10
CD109,10
NUP205,10
URB1,10
ARHGEF7,10
OR14C36,10
ZNF721,10
CNGB1,10
ARHGAP17,10
TYK2,10
NLRC3,10
OASL,10
HSD17B4,10
DOCK6,10
PRAMEF7,10
ADAMTS2,10
PRKG2,10
RBM47,10
RNF17,10
PREX1,10
MLH3,10
VLDLR,10
BAI1,10
WDR64,10
OR2T34,10
MAGEC3,10
CGN,10
MYPN,10
FNBP4,10
LTK,10
ACVR1B,10
LCA5L,10
GRM1,10
NTRK2,10
CEP120,10
PARP8,10
PTPN14,10
RARB,10
MCM10,10
HNRNPUL1,10
HLA-B,10
NEK9,10
LOXL3,10
L3MBTL1,10
CWH43,10
ARHGAP24,10
UBR1,10
SLK,10
FAM171B,10
MGAT4A,10
ANO2,10
RBM44,10
STARD8,10
NLRP3,10
MID1,10
IARS,10
ZNF236,10
CACHD1,10
PSMD1,10
MMP16,10
VIT,10
DENND2C,10
GLDC,10
SYBU,10
LILRB3,10
GNPTAB,10
SPINK5,10
JUP,10
USP48,10
FAN1,10
FAM22F,10
ZC3H7A,10
ZNF551,10
AMOT,10
LIG3,10
PGBD5,10
PDE10A,10
ABAT,10
FAM13C,10
DHX9,10
DTX1,10
HEATR7B1,10
DHX15,10
